n_estimators,random_state,bootstrap,n_jobs,max_samples,max_features,auc_pr_test,auc_roc_test,auc_pr_valid,auc_roc_valid,seed,job_name
32.0,0.0,0.0,-1.0,0.8,0.6,0.9943118152512028,0.9990746995819112,0.9882482179305884,0.9986781619572804,0.0,25
64.0,0.0,0.0,-1.0,0.4,0.8,0.9941927924506172,0.9990924784603692,0.984736806939592,0.9984046249375788,0.0,34
16.0,0.0,0.0,-1.0,0.6,0.8,0.95775739266025,0.9921206182194894,0.979547536816458,0.99734174454179,0.0,36
128.0,0.0,0.0,-1.0,0.4,0.8,0.995445742023305,0.9993539603011992,0.9783998841422236,0.9976700733733258,0.0,35
128.0,0.0,0.0,-1.0,0.8,0.4,0.9961217724046134,0.999309243627136,0.9933692389406058,0.998995117333484,0.0,11
16.0,0.0,0.0,-1.0,0.4,0.8,0.9882584727018536,0.998274500037417,0.9847742008805936,0.9982350040414856,0.0,32
16.0,0.0,0.0,-1.0,1.0,0.8,0.9802638616589376,0.9965815425537026,0.9824101036168892,0.9976729768226874,0.0,44
32.0,0.0,0.0,-1.0,0.4,0.8,0.9873792671214884,0.997608785739456,0.9890849857797084,0.9984554402766808,0.0,33
128.0,0.0,0.0,-1.0,0.6,0.4,0.9942321548248594,0.9990039700754896,0.989435291177826,0.9987017548053204,0.0,7
32.0,0.0,0.0,-1.0,1.0,0.6,0.991568765048461,0.9979651936822684,0.9846928229325892,0.9984951223947686,0.0,29
128.0,0.0,0.0,-1.0,1.0,0.8,0.996582132494767,0.99953794350953,0.9853953697277956,0.9985012686128883,0.0,47
128.0,0.0,0.0,-1.0,0.4,0.6,0.9959229442248068,0.9992841384657374,0.9898459252169304,0.9984962812574328,0.0,19
64.0,0.0,0.0,-1.0,0.6,0.8,0.9931484047133092,0.9989402005399258,0.9861137736777266,0.9984484524946498,0.0,38
64.0,0.0,0.0,-1.0,0.6,0.6,0.9915473990082436,0.9983247221998668,0.9918015010307896,0.9988846165120912,0.0,22
128.0,0.0,0.0,-1.0,1.0,0.6,0.9963841395351648,0.9993716711136102,0.9858465806431572,0.9983021447018008,0.0,31
32.0,0.0,0.0,-1.0,0.6,0.8,0.9911856372822312,0.9982630370722974,0.9944618742425464,0.9990468329227598,0.0,37
128.0,0.0,0.0,-1.0,0.6,0.6,0.9947021209550764,0.99906237997653,0.9805827228418436,0.9980356215290276,0.0,23
128.0,0.0,0.0,-1.0,0.8,0.6,0.9963146279593452,0.9994181807887428,0.9795028955315984,0.9976833762436726,0.0,27
64.0,0.0,0.0,-1.0,0.8,0.8,0.9955055292484608,0.9991852082167328,0.9897706557457367,0.9989506548498271,0.0,42
128.0,0.0,0.0,-1.0,1.0,0.4,0.9959798193700892,0.9993747106713764,0.9897040030300556,0.9987382832407484,0.0,15
64.0,0.0,0.0,-1.0,1.0,0.8,0.995688728749626,0.9993695740375232,0.9918843184521308,0.9991030442647116,0.0,46
128.0,0.0,0.0,-1.0,0.6,0.8,0.995943257816872,0.9994709326759528,0.9759868137694856,0.9977821845857496,0.0,39
128.0,0.0,0.0,-1.0,0.8,0.8,0.9968729202337372,0.9994914355576162,0.9796943673671814,0.9984173869526848,0.0,43
32.0,0.0,0.0,-1.0,1.0,0.8,0.9900355944372436,0.9982736434035911,0.988980822645998,0.9989022859954688,0.0,45
